candidate_id,exact_e0,numerator,denominator,origins,covered_intervals,covered_tasksets,covered_tasks,covered_relations,covered_variants,covered_U_0_4_intervals,covered_U_0_4_tasksets,covered_U_0_6_intervals,covered_U_0_6_tasksets,representation_cost,minimum_distance_to_selected,selected,selection_rank
E0C00068,27135749727000000213/2000000000000000000000,27135749727000000213,2000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,8,2,3,2,4,2,1,6,1,42,,False,
E0C00069,2753849907600000137/200000000000000000000,2753849907600000137,200000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,10,2,3,2,4,4,1,6,1,40,,False,
E0C00070,27578248833000002123/2000000000000000000000,27578248833000002123,2000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,11,2,3,2,4,4,1,7,1,42,,False,
E0C00071,2757824886000000211/200000000000000000000,2757824886000000211,200000000000000000000,INTERVAL_MIDPOINT,11,2,3,2,4,4,1,7,1,40,,False,
E0C00072,689934363675000031/50000000000000000000,689934363675000031,50000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,10,2,3,2,4,4,1,6,1,38,,False,
E0C00073,27646124640000000579/2000000000000000000000,27646124640000000579,2000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,11,3,4,2,4,4,1,6,1,42,,False,
E0C00074,27778874487000000361/2000000000000000000000,27778874487000000361,2000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,12,3,5,2,4,5,1,6,1,42,,False,
E0C00075,5557349946000000041/400000000000000000000,5557349946000000041,400000000000000000000,INTERVAL_MIDPOINT,12,3,5,2,4,5,1,6,1,40,,False,
E0C00076,27963749442000000379/2000000000000000000000,27963749442000000379,2000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,13,3,5,2,4,6,1,6,1,42,,False,
E0C00077,70371561015000001/5000000000000000000,70371561015000001,5000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,14,3,5,2,4,7,1,6,1,36,,False,
E0C00078,28333499358000000413/2000000000000000000000,28333499358000000413,2000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,15,3,5,2,4,8,1,6,1,42,,False,
E0C00079,28333499370000000429/2000000000000000000000,28333499370000000429,2000000000000000000000,INTERVAL_MIDPOINT,15,3,5,2,4,8,1,6,1,42,,False,
E0C00080,28507123764000001551/2000000000000000000000,28507123764000001551,2000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,16,3,5,2,4,9,1,6,1,42,,False,
E0C00081,7146562477500000151/500000000000000000000,7146562477500000151,500000000000000000000,INTERVAL_MIDPOINT,16,3,5,2,4,9,1,6,1,40,,False,
E0C00082,28598998713000002233/2000000000000000000000,28598998713000002233,2000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,17,3,5,2,4,9,1,7,1,42,,False,
E0C00083,1787437421250000139/125000000000000000000,1787437421250000139,125000000000000000000,INTERVAL_MIDPOINT,17,3,5,2,4,9,1,7,1,40,,False,
E0C00084,14305124634000000559/1000000000000000000000,14305124634000000559,1000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,16,3,5,2,4,9,1,6,1,42,,False,
E0C00085,28703249268000000453/2000000000000000000000,28703249268000000453,2000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,17,3,5,2,4,10,1,6,1,42,,False,
E0C00086,28888124226000000477/2000000000000000000000,28888124226000000477,2000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,18,3,5,2,4,11,1,6,1,42,,False,
E0C00087,29072999172000000497/2000000000000000000000,29072999172000000497,2000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,18,3,5,2,4,11,1,6,1,42,,False,
E0C00088,3646171786125000053/250000000000000000000,3646171786125000053,250000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,19,3,5,2,4,12,1,6,1,40,,False,
E0C00089,58458749478000001009/4000000000000000000000,58458749478000001009,4000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,20,3,5,2,4,13,1,6,1,42,,False,
E0C00090,58635749154000001191/4000000000000000000000,58635749154000001191,4000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,21,4,6,2,4,13,1,7,2,42,,False,
E0C00091,1467712464000000023/100000000000000000000,1467712464000000023,100000000000000000000,INTERVAL_MIDPOINT,22,4,6,2,4,14,1,7,2,40,,False,
E0C00092,5888549814000000107/400000000000000000000,5888549814000000107,400000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,22,4,6,2,4,14,1,7,2,40,,False,
E0C00093,29546999385000000547/2000000000000000000000,29546999385000000547,2000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,23,4,6,2,4,15,1,7,2,42,,False,
E0C00094,29587874055000001597/2000000000000000000000,29587874055000001597,2000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,22,3,5,2,4,15,1,7,2,42,,False,
E0C00095,1480987429350000117/100000000000000000000,1480987429350000117,100000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,23,3,5,2,4,15,1,8,2,40,,False,
E0C00096,925617144187500073/62500000000000000000,925617144187500073,62500000000000000000,INTERVAL_MIDPOINT,23,3,5,2,4,15,1,8,2,38,,False,
E0C00097,7418812269750000307/500000000000000000000,7418812269750000307,500000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,22,3,5,2,4,15,1,7,2,40,,False,
E0C00098,14865937228500000169/1000000000000000000000,14865937228500000169,1000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,23,3,5,2,4,16,1,7,2,42,,False,
E0C00099,14910187117500000211/1000000000000000000000,14910187117500000211,1000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,21,3,5,2,4,14,1,7,2,42,,False,
E0C00100,29932499874000000651/2000000000000000000000,29932499874000000651,2000000000000000000000,INTERVAL_MIDPOINT,22,3,5,2,4,15,1,7,2,42,,False,
E0C00101,29997373911000000587/2000000000000000000000,29997373911000000587,2000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,22,3,5,2,4,15,1,7,2,42,,False,
E0C00102,3010949967000000023/200000000000000000000,3010949967000000023,200000000000000000000,INTERVAL_MIDPOINT,23,3,5,2,4,16,1,7,2,40,,False,
E0C00103,943195276500000019/62500000000000000000,943195276500000019,62500000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,23,3,5,2,4,16,1,7,2,38,,False,
E0C00104,7591780948500000157/500000000000000000000,7591780948500000157,500000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,24,3,5,2,4,17,1,7,2,40,,False,
E0C00105,30374999184000000481/2000000000000000000000,30374999184000000481,2000000000000000000000,INTERVAL_MIDPOINT,24,3,5,2,4,17,1,7,2,42,,False,
E0C00106,61046998848000001131/4000000000000000000000,61046998848000001131,4000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,25,3,5,2,4,18,1,7,2,42,,False,
E0C00107,12243449584800000677/800000000000000000000,12243449584800000677,800000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,24,2,4,2,4,18,1,6,1,41,,False,
E0C00108,15318561633000000891/1000000000000000000000,15318561633000000891,1000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,25,2,4,2,4,18,1,7,1,42,,False,
E0C00109,1532024924100000123/100000000000000000000,1532024924100000123,100000000000000000000,INTERVAL_MIDPOINT,26,2,4,2,4,19,1,7,1,40,,False,
E0C00110,6128774734200000283/400000000000000000000,6128774734200000283,400000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,26,2,4,2,4,19,1,7,1,40,,False,
E0C00111,6130349814000000253/400000000000000000000,6130349814000000253,400000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,25,2,4,2,4,19,1,6,1,40,,False,
E0C00112,30667499595000000227/2000000000000000000000,30667499595000000227,2000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,24,2,4,2,4,18,1,6,1,42,,False,
E0C00113,15377999692500000151/1000000000000000000000,15377999692500000151,1000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,25,3,5,2,4,19,2,6,1,42,,False,
E0C00114,7704562477500000001/500000000000000000000,7704562477500000001,500000000000000000000,INTERVAL_MIDPOINT,25,3,5,2,4,19,2,6,1,40,,False,
E0C00115,6168224839200000091/400000000000000000000,6168224839200000091,400000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,26,3,5,2,4,20,2,6,1,40,,False,
E0C00116,30903374721000000157/2000000000000000000000,30903374721000000157,2000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,27,3,5,2,4,21,2,6,1,42,,False,
E0C00117,77459997817500001/5000000000000000000,77459997817500001,5000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,26,2,4,2,4,20,1,6,1,36,,False,
E0C00118,388832794275000009/25000000000000000000,388832794275000009,25000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,27,2,4,2,4,21,1,6,1,38,,False,
E0C00119,31130249604000000263/2000000000000000000000,31130249604000000263,2000000000000000000000,INTERVAL_MIDPOINT,27,2,4,2,4,21,1,6,1,42,,False,
E0C00120,12487499722800000323/800000000000000000000,12487499722800000323,800000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,28,2,4,2,4,22,1,6,1,41,,False,
E0C00121,62614498074000001801/4000000000000000000000,62614498074000001801,4000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,29,3,5,2,4,22,1,6,1,42,,False,
E0C00122,3139574908200000051/200000000000000000000,3139574908200000051,200000000000000000000,INTERVAL_MIDPOINT,30,3,5,2,4,23,1,6,1,40,,False,
E0C00123,31447874055000000417/2000000000000000000000,31447874055000000417,2000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,30,3,5,2,4,23,1,6,1,42,,False,
E0C00124,6308849852400000069/400000000000000000000,6308849852400000069,400000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,32,4,7,2,4,25,2,6,1,40,,False,
