phase,structure,cell_id,U_norm,taskset_id,relation,task_id,priority_rank,complete_candidate,local_candidate,improvement,status,envelope_common_count,envelope_strict_count,envelope_equal_count,envelope_violation_count,local_only_closure_count,q_plus_h_equals_w_count
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t02-cf93d5735167,FIXED_CW_CARRY_IN,2,2,1,1,0,EQUAL,1,0,1,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t02-cf93d5735167,FIXED_CW_CARRY_IN,3,3,9,9,0,EQUAL,9,0,9,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t02-cf93d5735167,FIXED_CW_CARRY_IN,4,4,9,9,0,EQUAL,9,0,9,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t02-cf93d5735167,FIXED_CW_CARRY_IN,5,5,8,8,0,EQUAL,8,0,8,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t02-cf93d5735167,FIXED_CW_CARRY_IN,6,6,28,28,0,EQUAL,28,0,28,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t02-cf93d5735167,FIXED_CW_CARRY_IN,7,7,26,26,0,EQUAL,26,0,26,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t02-cf93d5735167,FIXED_CW_CARRY_IN,8,8,46,46,0,EQUAL,46,0,46,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t02-cf93d5735167,FIXED_CW_CARRY_IN,9,9,48,48,0,EQUAL,48,0,48,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t02-cf93d5735167,RECURSIVE_CARRY_IN,0,0,6,6,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t02-cf93d5735167,RECURSIVE_CARRY_IN,1,1,37,37,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t02-cf93d5735167,RECURSIVE_CARRY_IN,2,2,1,1,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t02-cf93d5735167,RECURSIVE_CARRY_IN,3,3,9,9,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t02-cf93d5735167,RECURSIVE_CARRY_IN,4,4,9,9,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t02-cf93d5735167,RECURSIVE_CARRY_IN,5,5,8,8,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t02-cf93d5735167,RECURSIVE_CARRY_IN,6,6,28,28,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t02-cf93d5735167,RECURSIVE_CARRY_IN,7,7,26,26,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t02-cf93d5735167,RECURSIVE_CARRY_IN,8,8,46,46,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t02-cf93d5735167,RECURSIVE_CARRY_IN,9,9,48,48,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t03-afe4faa3fe20,DEADLINE_CARRY_IN,0,0,16,16,0,EQUAL,16,0,16,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t03-afe4faa3fe20,DEADLINE_CARRY_IN,1,1,7,7,0,EQUAL,7,0,7,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t03-afe4faa3fe20,DEADLINE_CARRY_IN,2,2,6,6,0,EQUAL,6,0,6,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t03-afe4faa3fe20,DEADLINE_CARRY_IN,3,3,37,37,0,EQUAL,37,0,37,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t03-afe4faa3fe20,DEADLINE_CARRY_IN,4,4,21,21,0,EQUAL,21,0,21,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t03-afe4faa3fe20,DEADLINE_CARRY_IN,5,5,51,51,0,EQUAL,51,0,51,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t03-afe4faa3fe20,DEADLINE_CARRY_IN,6,6,51,51,0,EQUAL,51,0,51,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t03-afe4faa3fe20,DEADLINE_CARRY_IN,7,7,93,93,0,EQUAL,93,29,64,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t03-afe4faa3fe20,DEADLINE_CARRY_IN,8,8,88,88,0,EQUAL,88,31,57,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t03-afe4faa3fe20,DEADLINE_CARRY_IN,9,9,94,94,0,EQUAL,94,21,73,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t03-afe4faa3fe20,FIXED_CW_CARRY_IN,0,0,16,16,0,EQUAL,16,0,16,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t03-afe4faa3fe20,FIXED_CW_CARRY_IN,1,1,7,7,0,EQUAL,7,0,7,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t03-afe4faa3fe20,FIXED_CW_CARRY_IN,2,2,6,6,0,EQUAL,6,0,6,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t03-afe4faa3fe20,FIXED_CW_CARRY_IN,3,3,37,37,0,EQUAL,37,0,37,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t03-afe4faa3fe20,FIXED_CW_CARRY_IN,4,4,15,15,0,EQUAL,15,0,15,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t03-afe4faa3fe20,FIXED_CW_CARRY_IN,5,5,40,40,0,EQUAL,40,0,40,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t03-afe4faa3fe20,FIXED_CW_CARRY_IN,6,6,32,32,0,EQUAL,32,0,32,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t03-afe4faa3fe20,FIXED_CW_CARRY_IN,7,7,62,62,0,EQUAL,62,9,53,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t03-afe4faa3fe20,FIXED_CW_CARRY_IN,8,8,45,45,0,EQUAL,45,4,41,0,0,1
