cell_id,taskset_id,exact_e0,relation,left_variant,right_variant,task_id,priority_rank,left_candidate,right_candidate,reduction,status
6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,1,LOCAL_VS_COMPLETE_FIXED_CW,CW_THETA_CW,LOC_THETA_CW,0,0,5,5,0,EQUAL
6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,1,LOCAL_VS_COMPLETE_FIXED_CW,CW_THETA_CW,LOC_THETA_CW,1,1,4,4,0,EQUAL
6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,1,LOCAL_VS_COMPLETE_FIXED_CW,CW_THETA_CW,LOC_THETA_CW,2,2,22,22,0,EQUAL
6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,1,LOCAL_VS_COMPLETE_FIXED_CW,CW_THETA_CW,LOC_THETA_CW,3,3,5,5,0,EQUAL
6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,1,LOCAL_VS_COMPLETE_FIXED_CW,CW_THETA_CW,LOC_THETA_CW,4,4,14,14,0,EQUAL
6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,1,LOCAL_VS_COMPLETE_FIXED_CW,CW_THETA_CW,LOC_THETA_CW,5,5,27,27,0,EQUAL
6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,1,LOCAL_VS_COMPLETE_FIXED_CW,CW_THETA_CW,LOC_THETA_CW,6,6,15,15,0,EQUAL
6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,1,LOCAL_VS_COMPLETE_FIXED_CW,CW_THETA_CW,LOC_THETA_CW,7,7,42,42,0,EQUAL
6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,1,LOCAL_VS_COMPLETE_FIXED_CW,CW_THETA_CW,LOC_THETA_CW,8,8,104,104,0,EQUAL
6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,1,LOCAL_VS_COMPLETE_FIXED_CW,CW_THETA_CW,LOC_THETA_CW,9,9,36,36,0,EQUAL
6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,1,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,0,0,5,5,0,EQUAL
6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,1,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,1,1,4,4,0,EQUAL
6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,1,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,2,2,22,22,0,EQUAL
6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,1,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,3,3,5,5,0,EQUAL
6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,1,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,4,4,14,14,0,EQUAL
6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,1,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,5,5,27,27,0,EQUAL
