plot,scheduler_id,trace_id,trace_scale,request_id,category,x,y
battery_trajectory,gpfp_asap_block,ext2-synthetic-smoke-v1:segment:0:3:scale:1:resampled:60000000000ns,1,a29e7aad9b00789dd853b42ba5fab3d91903a9173f4cd4f2ed3cbb4cb1e2598f,SIM_PASS_OBSERVED,181,20.1279
battery_trajectory,gpfp_asap_block,ext2-synthetic-smoke-v1:segment:0:3:scale:1:resampled:60000000000ns,1,a29e7aad9b00789dd853b42ba5fab3d91903a9173f4cd4f2ed3cbb4cb1e2598f,SIM_PASS_OBSERVED,181,20.1279
battery_trajectory,gpfp_asap_block,ext2-synthetic-smoke-v1:segment:0:3:scale:1:resampled:60000000000ns,1,a29e7aad9b00789dd853b42ba5fab3d91903a9173f4cd4f2ed3cbb4cb1e2598f,SIM_PASS_OBSERVED,181,20.1283
battery_trajectory,gpfp_asap_block,ext2-synthetic-smoke-v1:segment:0:3:scale:1:resampled:60000000000ns,1,a29e7aad9b00789dd853b42ba5fab3d91903a9173f4cd4f2ed3cbb4cb1e2598f,SIM_PASS_OBSERVED,185,20.1296
battery_trajectory,gpfp_asap_block,ext2-synthetic-smoke-v1:segment:0:3:scale:1:resampled:60000000000ns,1,a29e7aad9b00789dd853b42ba5fab3d91903a9173f4cd4f2ed3cbb4cb1e2598f,SIM_PASS_OBSERVED,192,20.136599999999998
battery_trajectory,gpfp_asap_block,ext2-synthetic-smoke-v1:segment:0:3:scale:1:resampled:60000000000ns,1,a29e7aad9b00789dd853b42ba5fab3d91903a9173f4cd4f2ed3cbb4cb1e2598f,SIM_PASS_OBSERVED,192,20.1376
battery_trajectory,gpfp_asap_block,ext2-synthetic-smoke-v1:segment:0:3:scale:1:resampled:60000000000ns,1,a29e7aad9b00789dd853b42ba5fab3d91903a9173f4cd4f2ed3cbb4cb1e2598f,SIM_PASS_OBSERVED,196,20.1405
battery_trajectory,gpfp_asap_block,ext2-synthetic-smoke-v1:segment:0:3:scale:1:resampled:60000000000ns,1,a29e7aad9b00789dd853b42ba5fab3d91903a9173f4cd4f2ed3cbb4cb1e2598f,SIM_PASS_OBSERVED,200,20.1445
battery_trajectory,gpfp_asap_block,ext2-synthetic-smoke-v1:segment:0:3:scale:1:resampled:60000000000ns,1,a29e7aad9b00789dd853b42ba5fab3d91903a9173f4cd4f2ed3cbb4cb1e2598f,SIM_PASS_OBSERVED,200,20.1449
battery_trajectory,gpfp_asap_block,ext2-synthetic-smoke-v1:segment:0:3:scale:1:resampled:60000000000ns,1,a29e7aad9b00789dd853b42ba5fab3d91903a9173f4cd4f2ed3cbb4cb1e2598f,SIM_PASS_OBSERVED,204,20.1462
battery_trajectory,gpfp_asap_block,ext2-synthetic-smoke-v1:segment:0:3:scale:1:resampled:60000000000ns,1,a29e7aad9b00789dd853b42ba5fab3d91903a9173f4cd4f2ed3cbb4cb1e2598f,SIM_PASS_OBSERVED,204,20.1466
battery_trajectory,gpfp_asap_block,ext2-synthetic-smoke-v1:segment:0:3:scale:1:resampled:60000000000ns,1,a29e7aad9b00789dd853b42ba5fab3d91903a9173f4cd4f2ed3cbb4cb1e2598f,SIM_PASS_OBSERVED,210,20.1486
