plot,cell_id,taskset_id,variant,relation,x,y,outcome
ablation,3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,LOC_THETA_LOC,LOC_THETA_LOC_VS_LOC_D,1,0,EQUAL
ablation,3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,LOC_THETA_LOC,LOC_THETA_LOC_VS_LOC_D,2,0,EQUAL
ablation,3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,LOC_THETA_LOC,LOC_THETA_LOC_VS_LOC_D,3,0,EQUAL
ablation,3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,LOC_THETA_LOC,LOC_THETA_LOC_VS_LOC_D,4,0,EQUAL
ablation,3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,LOC_THETA_LOC,LOC_THETA_LOC_VS_LOC_D,5,3,TIGHTER
ablation,3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,LOC_THETA_LOC,LOC_THETA_LOC_VS_LOC_D,6,7,TIGHTER
ablation,3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,LOC_THETA_LOC,LOC_THETA_LOC_VS_LOC_D,7,7,TIGHTER
ablation,3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,LOC_THETA_LOC,LOC_THETA_LOC_VS_LOC_D,8,17,TIGHTER
ablation,4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,LOC_THETA_LOC,LOC_THETA_LOC_VS_LOC_D,0,0,EQUAL
ablation,4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,LOC_THETA_LOC,LOC_THETA_LOC_VS_LOC_D,1,0,EQUAL
ablation,4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,LOC_THETA_LOC,LOC_THETA_LOC_VS_LOC_D,2,0,EQUAL
ablation,4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,LOC_THETA_LOC,LOC_THETA_LOC_VS_LOC_D,3,0,EQUAL
ablation,4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,LOC_THETA_LOC,LOC_THETA_LOC_VS_LOC_D,4,0,EQUAL
ablation,4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,LOC_THETA_LOC,LOC_THETA_LOC_VS_LOC_D,5,0,EQUAL
